year,family_group,family_group_label,children_count,children_label,income_band_order,income_band_key,income_band,families,families_stated_total,share_within_child_group,aggregation_note
2016,couple,Couple families with children,4m,4+ children,6,500_649,$500-$649,2353,101341,0.02321863806356756,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,7,650_799,$650-$799,26244,864229,0.030366951352014337,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,7,650_799,$650-$799,19389,1003469,0.01932197207885844,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,7,650_799,$650-$799,7829,363402,0.021543634872675438,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,7,650_799,$650-$799,3743,101341,0.03693470559793174,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,8,800_999,$800-$999,40174,864229,0.04648536441151593,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,8,800_999,$800-$999,34305,1003469,0.034186407352892814,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,8,800_999,$800-$999,13775,363402,0.03790568021089592,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,8,800_999,$800-$999,6651,101341,0.06562990300075981,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,9,1000_1499,"$1,000-$1,499",143054,864229,0.16552788670595409,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,9,1000_1499,"$1,000-$1,499",130114,1003469,0.12966419490786463,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,9,1000_1499,"$1,000-$1,499",51522,363402,0.14177687519606386,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,9,1000_1499,"$1,000-$1,499",21634,101341,0.21347726981182344,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,10,1500_1999,"$1,500-$1,999",142669,864229,0.16508240292792767,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,10,1500_1999,"$1,500-$1,999",155165,1003469,0.15462859340946258,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,10,1500_1999,"$1,500-$1,999",57747,363402,0.15890666534581538,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,10,1500_1999,"$1,500-$1,999",21607,101341,0.2132108426007243,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,11,2000_2499,"$2,000-$2,499",146800,864229,0.1698623860111151,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,11,2000_2499,"$2,000-$2,499",169867,1003469,0.169279768483132,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,11,2000_2499,"$2,000-$2,499",58376,363402,0.16063753088865773,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,11,2000_2499,"$2,000-$2,499",17844,101341,0.17607878351308948,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,12,2500_2999,"$2,500-$2,999",105497,864229,0.1220706548842957,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,12,2500_2999,"$2,500-$2,999",132893,1003469,0.1324335878836317,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,12,2500_2999,"$2,500-$2,999",44402,363402,0.12218424774767338,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,4m,4+ children,12,2500_2999,"$2,500-$2,999",11855,101341,0.11698128102150167,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,1,1 child,13,3000_3999,"$3,000-$3,999",120673,864229,0.1396308154435919,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,2,2 children,13,3000_3999,"$3,000-$3,999",164019,1003469,0.16345198506381364,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2016,couple,Couple families with children,3,3 children,13,3000_3999,"$3,000-$3,999",54894,363402,0.15105585549886902,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
